x,y,depth
0,0,0.1726
4,0,0.1740
8,0,0.1782
12,0,0.1843
16,0,0.1902
20,0,0.1921
24,0,0.1869
28,0,0.1753
32,0,0.1615
36,0,0.1503
40,0,0.1437
44,0,0.1393
48,0,0.1343
52,0,0.1275
56,0,0.1198
60,0,0.1132
64,0,0.1083
68,0,0.1050
72,0,0.1027
76,0,0.1013
80,0,0.1016
84,0,0.1051
88,0,0.1155
92,0,0.1354
96,0,0.1648
100,0,0.1976
104,0,0.2237
108,0,0.2355
112,0,0.2327
116,0,0.2224
120,0,0.2138
124,0,0.2117
128,0,0.2139
132,0,0.2133
136,0,0.2045
140,0,0.1868
144,0,0.1655
148,0,0.1466
152,0,0.1354
156,0,0.1339
160,0,0.1403
164,0,0.1493
168,0,0.1547
172,0,0.1531
176,0,0.1466
180,0,0.1391
184,0,0.1339
188,0,0.1315
192,0,0.1303
196,0,0.1285
200,0,0.1254
204,0,0.1215
208,0,0.1179
212,0,0.1155
216,0,0.1158
220,0,0.1188
224,0,0.1219
228,0,0.1209
232,0,0.1147
236,0,0.1067
240,0,0.1030
244,0,0.1073
248,0,0.1190
252,0,0.1331
256,0,0.1430
260,0,0.1437
264,0,0.1351
268,0,0.1220
272,0,0.1109
276,0,0.1056
280,0,0.1065
284,0,0.1109
288,0,0.1159
292,0,0.1193
296,0,0.1204
300,0,0.1190
304,0,0.1160
308,0,0.1123
312,0,0.1094
316,0,0.1083
320,0,0.1095
324,0,0.1123
328,0,0.1164
332,0,0.1211
336,0,0.1243
340,0,0.1235
344,0,0.1185
348,0,0.1125
352,0,0.1111
356,0,0.1169
360,0,0.1289
364,0,0.1424
368,0,0.1530
372,0,0.1584
376,0,0.1589
380,0,0.1563
384,0,0.1541
388,0,0.1561
392,0,0.1658
396,0,0.1877
400,0,0.2237
404,0,0.2687
408,0,0.3109
412,0,0.3366
416,0,0.3398
420,0,0.3268
424,0,0.3146
428,0,0.3216
432,0,0.3527
436,0,0.3925
440,0,0.4214
444,0,0.4309
448,0,0.4269
452,0,0.4186
456,0,0.4076
460,0,0.3919
464,0,0.3708
468,0,0.3448
472,0,0.3144
476,0,0.2804
480,0,0.2452
484,0,0.2127
488,0,0.1868
492,0,0.1695
496,0,0.1603
500,0,0.1570
504,0,0.1569
508,0,0.1578
512,0,0.1590
516,0,0.1614
520,0,0.1664
524,0,0.1745
528,0,0.1861
532,0,0.1999
536,0,0.2140
540,0,0.2246
544,0,0.2284
548,0,0.2253
552,0,0.2191
556,0,0.2149
560,0,0.2151
564,0,0.2173
568,0,0.2173
572,0,0.2128
576,0,0.2057
580,0,0.1989
584,0,0.1939
588,0,0.1905
592,0,0.1881
596,0,0.1868
600,0,0.1872
604,0,0.1897
608,0,0.1935
612,0,0.1959
616,0,0.1942
620,0,0.1878
624,0,0.1784
628,0,0.1688
632,0,0.1613
636,0,0.1569
0,1,0.1727
4,1,0.1740
8,1,0.1781
12,1,0.1841
16,1,0.1900
20,1,0.1918
24,1,0.1866
28,1,0.1750
32,1,0.1612
36,1,0.1501
40,1,0.1435
44,1,0.1392
48,1,0.1342
52,1,0.1274
56,1,0.1199
60,1,0.1133
64,1,0.1085
68,1,0.1052
72,1,0.1029
76,1,0.1015
80,1,0.1017
84,1,0.1053
88,1,0.1155
92,1,0.1353
96,1,0.1646
100,1,0.1972
104,1,0.2233
108,1,0.2350
112,1,0.2324
116,1,0.2222
120,1,0.2138
124,1,0.2118
128,1,0.2140
132,1,0.2134
136,1,0.2046
140,1,0.1870
144,1,0.1657
148,1,0.1468
152,1,0.1355
156,1,0.1339
160,1,0.1403
164,1,0.1493
168,1,0.1546
172,1,0.1529
176,1,0.1464
180,1,0.1389
184,1,0.1337
188,1,0.1312
192,1,0.1301
196,1,0.1283
200,1,0.1252
204,1,0.1214
208,1,0.1178
212,1,0.1155
216,1,0.1158
220,1,0.1188
224,1,0.1218
228,1,0.1208
232,1,0.1147
236,1,0.1067
240,1,0.1031
244,1,0.1074
248,1,0.1190
252,1,0.1331
256,1,0.1430
260,1,0.1437
264,1,0.1351
268,1,0.1220
272,1,0.1109
276,1,0.1057
280,1,0.1066
284,1,0.1109
288,1,0.1160
292,1,0.1194
296,1,0.1205
300,1,0.1191
304,1,0.1161
308,1,0.1124
312,1,0.1094
316,1,0.1084
320,1,0.1095
324,1,0.1123
328,1,0.1165
332,1,0.1211
336,1,0.1243
340,1,0.1235
344,1,0.1185
348,1,0.1126
352,1,0.1111
356,1,0.1170
360,1,0.1290
364,1,0.1425
368,1,0.1531
372,1,0.1585
376,1,0.1590
380,1,0.1564
384,1,0.1542
388,1,0.1561
392,1,0.1657
396,1,0.1875
400,1,0.2234
404,1,0.2684
408,1,0.3106
412,1,0.3364
416,1,0.3397
420,1,0.3267
424,1,0.3143
428,1,0.3210
432,1,0.3516
436,1,0.3910
440,1,0.4195
444,1,0.4289
448,1,0.4252
452,1,0.4173
456,1,0.4067
460,1,0.3914
464,1,0.3706
468,1,0.3449
472,1,0.3148
476,1,0.2811
480,1,0.2461
484,1,0.2138
488,1,0.1880
492,1,0.1708
496,1,0.1617
500,1,0.1585
504,1,0.1584
508,1,0.1594
512,1,0.1607
516,1,0.1632
520,1,0.1682
524,1,0.1763
528,1,0.1878
532,1,0.2015
536,1,0.2154
540,1,0.2258
544,1,0.2295
548,1,0.2263
552,1,0.2201
556,1,0.2160
560,1,0.2163
564,1,0.2186
568,1,0.2186
572,1,0.2143
576,1,0.2072
580,1,0.2003
584,1,0.1953
588,1,0.1919
592,1,0.1894
596,1,0.1880
600,1,0.1884
604,1,0.1908
608,1,0.1945
612,1,0.1968
616,1,0.1951
620,1,0.1887
624,1,0.1792
628,1,0.1697
632,1,0.1622
636,1,0.1578
0,2,0.1729
4,2,0.1741
8,2,0.1778
12,2,0.1835
16,2,0.1891
20,2,0.1908
24,2,0.1856
28,2,0.1740
32,2,0.1603
36,2,0.1493
40,2,0.1428
44,2,0.1387
48,2,0.1339
52,2,0.1273
56,2,0.1200
60,2,0.1136
64,2,0.1090
68,2,0.1057
72,2,0.1035
76,2,0.1020
80,2,0.1022
84,2,0.1055
88,2,0.1156
92,2,0.1351
96,2,0.1641
100,2,0.1962
104,2,0.2219
108,2,0.2336
112,2,0.2312
116,2,0.2216
120,2,0.2137
124,2,0.2120
128,2,0.2143
132,2,0.2137
136,2,0.2049
140,2,0.1874
144,2,0.1662
148,2,0.1472
152,2,0.1359
156,2,0.1341
160,2,0.1403
164,2,0.1491
168,2,0.1542
172,2,0.1525
176,2,0.1458
180,2,0.1382
184,2,0.1330
188,2,0.1305
192,2,0.1294
196,2,0.1276
200,2,0.1246
204,2,0.1210
208,2,0.1175
212,2,0.1153
216,2,0.1157
220,2,0.1186
224,2,0.1215
228,2,0.1206
232,2,0.1146
236,2,0.1068
240,2,0.1033
244,2,0.1075
248,2,0.1191
252,2,0.1330
256,2,0.1429
260,2,0.1436
264,2,0.1352
268,2,0.1222
272,2,0.1112
276,2,0.1059
280,2,0.1067
284,2,0.1111
288,2,0.1162
292,2,0.1198
296,2,0.1210
300,2,0.1197
304,2,0.1167
308,2,0.1128
312,2,0.1097
316,2,0.1085
320,2,0.1096
324,2,0.1124
328,2,0.1165
332,2,0.1212
336,2,0.1243
340,2,0.1235
344,2,0.1185
348,2,0.1126
352,2,0.1112
356,2,0.1171
360,2,0.1292
364,2,0.1428
368,2,0.1534
372,2,0.1588
376,2,0.1593
380,2,0.1566
384,2,0.1543
388,2,0.1561
392,2,0.1654
396,2,0.1869
400,2,0.2226
404,2,0.2675
408,2,0.3098
412,2,0.3359
416,2,0.3394
420,2,0.3264
424,2,0.3137
428,2,0.3194
432,2,0.3485
436,2,0.3863
440,2,0.4139
444,2,0.4232
448,2,0.4202
452,2,0.4135
456,2,0.4041
460,2,0.3898
464,2,0.3700
468,2,0.3452
472,2,0.3160
476,2,0.2831
480,2,0.2489
484,2,0.2170
488,2,0.1916
492,2,0.1747
496,2,0.1658
500,2,0.1628
504,2,0.1629
508,2,0.1641
512,2,0.1657
516,2,0.1684
520,2,0.1735
524,2,0.1817
528,2,0.1931
532,2,0.2064
536,2,0.2197
540,2,0.2295
544,2,0.2328
548,2,0.2294
552,2,0.2232
556,2,0.2191
560,2,0.2196
564,2,0.2222
568,2,0.2226
572,2,0.2185
576,2,0.2115
580,2,0.2046
584,2,0.1995
588,2,0.1960
592,2,0.1934
596,2,0.1918
600,2,0.1919
604,2,0.1940
608,2,0.1975
612,2,0.1996
616,2,0.1977
620,2,0.1911
624,2,0.1816
628,2,0.1721
632,2,0.1647
636,2,0.1604
0,3,0.1733
4,3,0.1742
8,3,0.1775
12,3,0.1826
16,3,0.1877
20,3,0.1892
24,3,0.1840
28,3,0.1724
32,3,0.1589
36,3,0.1481
40,3,0.1418
44,3,0.1379
48,3,0.1334
52,3,0.1272
56,3,0.1202
60,3,0.1142
64,3,0.1098
68,3,0.1066
72,3,0.1044
76,3,0.1028
80,3,0.1028
84,3,0.1060
88,3,0.1158
92,3,0.1349
96,3,0.1632
100,3,0.1946
104,3,0.2198
108,3,0.2313
112,3,0.2294
116,3,0.2206
120,3,0.2135
124,3,0.2123
128,3,0.2147
132,3,0.2140
136,3,0.2054
140,3,0.1881
144,3,0.1670
148,3,0.1481
152,3,0.1365
156,3,0.1345
160,3,0.1404
164,3,0.1489
168,3,0.1537
172,3,0.1517
176,3,0.1448
180,3,0.1371
184,3,0.1318
188,3,0.1293
192,3,0.1281
196,3,0.1265
200,3,0.1237
204,3,0.1203
208,3,0.1171
212,3,0.1151
216,3,0.1154
220,3,0.1182
224,3,0.1211
228,3,0.1202
232,3,0.1145
236,3,0.1070
240,3,0.1036
244,3,0.1079
248,3,0.1192
252,3,0.1330
256,3,0.1427
260,3,0.1436
264,3,0.1354
268,3,0.1226
272,3,0.1116
276,3,0.1062
280,3,0.1069
284,3,0.1113
288,3,0.1166
292,3,0.1205
296,3,0.1219
300,3,0.1207
304,3,0.1175
308,3,0.1134
312,3,0.1101
316,3,0.1087
320,3,0.1097
324,3,0.1125
328,3,0.1166
332,3,0.1212
336,3,0.1244
340,3,0.1235
344,3,0.1185
348,3,0.1126
352,3,0.1113
356,3,0.1174
360,3,0.1296
364,3,0.1432
368,3,0.1540
372,3,0.1593
376,3,0.1597
380,3,0.1570
384,3,0.1546
388,3,0.1560
392,3,0.1649
396,3,0.1859
400,3,0.2212
404,3,0.2661
408,3,0.3085
412,3,0.3350
416,3,0.3389
420,3,0.3260
424,3,0.3126
428,3,0.3167
432,3,0.3434
436,3,0.3788
440,3,0.4048
444,3,0.4140
448,3,0.4122
452,3,0.4074
456,3,0.4001
460,3,0.3876
464,3,0.3692
468,3,0.3458
472,3,0.3181
476,3,0.2866
480,3,0.2535
484,3,0.2224
488,3,0.1976
492,3,0.1811
496,3,0.1726
500,3,0.1699
504,3,0.1703
508,3,0.1719
512,3,0.1738
516,3,0.1768
520,3,0.1822
524,3,0.1905
528,3,0.2016
532,3,0.2142
536,3,0.2267
540,3,0.2355
544,3,0.2381
548,3,0.2343
552,3,0.2281
556,3,0.2241
560,3,0.2249
564,3,0.2280
568,3,0.2289
572,3,0.2252
576,3,0.2184
580,3,0.2115
584,3,0.2063
588,3,0.2026
592,3,0.1997
596,3,0.1978
600,3,0.1974
604,3,0.1992
608,3,0.2022
612,3,0.2041
616,3,0.2019
620,3,0.1951
624,3,0.1855
628,3,0.1760
632,3,0.1688
636,3,0.1646
0,4,0.1738
4,4,0.1744
8,4,0.1770
12,4,0.1814
16,4,0.1860
20,4,0.1872
24,4,0.1819
28,4,0.1704
32,4,0.1570
36,4,0.1464
40,4,0.1404
44,4,0.1368
48,4,0.1327
52,4,0.1270
56,4,0.1205
60,4,0.1149
64,4,0.1108
68,4,0.1079
72,4,0.1057
76,4,0.1040
80,4,0.1039
84,4,0.1068
88,4,0.1162
92,4,0.1346
96,4,0.1620
100,4,0.1924
104,4,0.2168
108,4,0.2282
112,4,0.2270
116,4,0.2192
120,4,0.2132
124,4,0.2126
128,4,0.2152
132,4,0.2146
136,4,0.2061
140,4,0.1892
144,4,0.1683
148,4,0.1493
152,4,0.1374
156,4,0.1350
160,4,0.1406
164,4,0.1487
168,4,0.1530
172,4,0.1507
176,4,0.1436
180,4,0.1357
184,4,0.1302
188,4,0.1276
192,4,0.1265
196,4,0.1250
200,4,0.1225
204,4,0.1194
208,4,0.1165
212,4,0.1147
216,4,0.1151
220,4,0.1178
224,4,0.1205
228,4,0.1198
232,4,0.1144
236,4,0.1073
240,4,0.1042
244,4,0.1084
248,4,0.1195
252,4,0.1330
256,4,0.1426
260,4,0.1436
264,4,0.1356
268,4,0.1232
272,4,0.1123
276,4,0.1068
280,4,0.1073
284,4,0.1116
288,4,0.1171
292,4,0.1213
296,4,0.1231
300,4,0.1220
304,4,0.1187
308,4,0.1144
312,4,0.1107
316,4,0.1091
320,4,0.1099
324,4,0.1126
328,4,0.1168
332,4,0.1213
336,4,0.1244
340,4,0.1235
344,4,0.1184
348,4,0.1126
352,4,0.1114
356,4,0.1177
360,4,0.1300
364,4,0.1438
368,4,0.1546
372,4,0.1600
376,4,0.1603
380,4,0.1575
384,4,0.1549
388,4,0.1560
392,4,0.1643
396,4,0.1847
400,4,0.2195
404,4,0.2642
408,4,0.3068
412,4,0.3338
416,4,0.3383
420,4,0.3255
424,4,0.3113
428,4,0.3132
432,4,0.3367
436,4,0.3689
440,4,0.3928
444,4,0.4018
448,4,0.4017
452,4,0.3996
456,4,0.3951
460,4,0.3849
464,4,0.3686
468,4,0.3471
472,4,0.3213
476,4,0.2917
480,4,0.2600
484,4,0.2300
488,4,0.2059
492,4,0.1900
496,4,0.1819
500,4,0.1795
504,4,0.1805
508,4,0.1825
512,4,0.1849
516,4,0.1883
520,4,0.1941
524,4,0.2024
528,4,0.2131
532,4,0.2248
536,4,0.2360
540,4,0.2436
544,4,0.2452
548,4,0.2409
552,4,0.2345
556,4,0.2308
560,4,0.2320
564,4,0.2357
568,4,0.2373
572,4,0.2342
576,4,0.2276
580,4,0.2206
584,4,0.2152
588,4,0.2113
592,4,0.2081
596,4,0.2057
600,4,0.2047
604,4,0.2059
608,4,0.2085
612,4,0.2099
616,4,0.2074
620,4,0.2002
624,4,0.1905
628,4,0.1811
632,4,0.1741
636,4,0.1701
0,5,0.1743
4,5,0.1746
8,5,0.1763
12,5,0.1798
16,5,0.1838
20,5,0.1847
24,5,0.1793
28,5,0.1679
32,5,0.1546
36,5,0.1443
40,5,0.1386
44,5,0.1354
48,5,0.1318
52,5,0.1267
56,5,0.1209
60,5,0.1158
64,5,0.1122
68,5,0.1095
72,5,0.1073
76,5,0.1056
80,5,0.1052
84,5,0.1077
88,5,0.1166
92,5,0.1343
96,5,0.1606
100,5,0.1898
104,5,0.2133
108,5,0.2245
112,5,0.2240
116,5,0.2176
120,5,0.2128
124,5,0.2130
128,5,0.2157
132,5,0.2152
136,5,0.2069
140,5,0.1905
144,5,0.1698
148,5,0.1507
152,5,0.1385
156,5,0.1357
160,5,0.1408
164,5,0.1484
168,5,0.1522
172,5,0.1494
176,5,0.1420
180,5,0.1339
184,5,0.1283
188,5,0.1256
192,5,0.1245
196,5,0.1231
200,5,0.1209
204,5,0.1182
208,5,0.1158
212,5,0.1143
216,5,0.1147
220,5,0.1172
224,5,0.1198
228,5,0.1192
232,5,0.1142
236,5,0.1077
240,5,0.1049
244,5,0.1090
248,5,0.1199
252,5,0.1330
256,5,0.1425
260,5,0.1436
264,5,0.1360
268,5,0.1239
272,5,0.1131
276,5,0.1075
280,5,0.1078
284,5,0.1121
288,5,0.1179
292,5,0.1225
296,5,0.1247
300,5,0.1237
304,5,0.1203
308,5,0.1155
312,5,0.1115
316,5,0.1095
320,5,0.1102
324,5,0.1128
328,5,0.1169
332,5,0.1214
336,5,0.1244
340,5,0.1234
344,5,0.1184
348,5,0.1126
352,5,0.1115
356,5,0.1179
360,5,0.1305
364,5,0.1444
368,5,0.1553
372,5,0.1607
376,5,0.1610
380,5,0.1581
384,5,0.1553
388,5,0.1560
392,5,0.1636
396,5,0.1832
400,5,0.2174
404,5,0.2618
408,5,0.3048
412,5,0.3324
416,5,0.3376
420,5,0.3250
424,5,0.3098
428,5,0.3090
432,5,0.3286
436,5,0.3568
440,5,0.3783
444,5,0.3872
448,5,0.3893
452,5,0.3907
456,5,0.3897
460,5,0.3825
464,5,0.3685
468,5,0.3493
472,5,0.3258
476,5,0.2983
480,5,0.2684
484,5,0.2396
488,5,0.2164
492,5,0.2011
496,5,0.1935
500,5,0.1917
504,5,0.1931
508,5,0.1957
512,5,0.1986
516,5,0.2026
520,5,0.2087
524,5,0.2170
528,5,0.2272
532,5,0.2378
536,5,0.2473
540,5,0.2533
544,5,0.2537
548,5,0.2487
552,5,0.2423
556,5,0.2388
560,5,0.2404
564,5,0.2448
568,5,0.2473
572,5,0.2448
576,5,0.2385
580,5,0.2315
584,5,0.2259
588,5,0.2216
592,5,0.2180
596,5,0.2150
600,5,0.2134
604,5,0.2138
608,5,0.2158
612,5,0.2166
616,5,0.2136
620,5,0.2062
624,5,0.1962
628,5,0.1869
632,5,0.1802
636,5,0.1765
0,6,0.1748
4,6,0.1748
8,6,0.1756
12,6,0.1781
16,6,0.1814
20,6,0.1819
24,6,0.1764
28,6,0.1650
32,6,0.1520
36,6,0.1419
40,6,0.1365
44,6,0.1338
48,6,0.1308
52,6,0.1263
56,6,0.1212
60,6,0.1168
64,6,0.1137
68,6,0.1114
72,6,0.1093
76,6,0.1074
80,6,0.1067
84,6,0.1089
88,6,0.1171
92,6,0.1340
96,6,0.1590
100,6,0.1868
104,6,0.2092
108,6,0.2203
112,6,0.2206
116,6,0.2157
120,6,0.2125
124,6,0.2134
128,6,0.2164
132,6,0.2160
136,6,0.2081
140,6,0.1921
144,6,0.1718
148,6,0.1526
152,6,0.1399
156,6,0.1366
160,6,0.1411
164,6,0.1481
168,6,0.1513
172,6,0.1480
176,6,0.1402
180,6,0.1319
184,6,0.1261
188,6,0.1232
192,6,0.1221
196,6,0.1209
200,6,0.1191
204,6,0.1169
208,6,0.1150
212,6,0.1139
216,6,0.1143
220,6,0.1166
224,6,0.1190
228,6,0.1185
232,6,0.1141
236,6,0.1081
240,6,0.1057
244,6,0.1098
248,6,0.1203
252,6,0.1331
256,6,0.1424
260,6,0.1436
264,6,0.1365
268,6,0.1248
272,6,0.1141
276,6,0.1083
280,6,0.1084
284,6,0.1127
288,6,0.1188
292,6,0.1240
296,6,0.1267
300,6,0.1259
304,6,0.1223
308,6,0.1171
312,6,0.1125
316,6,0.1101
320,6,0.1106
324,6,0.1131
328,6,0.1171
332,6,0.1215
336,6,0.1244
340,6,0.1233
344,6,0.1182
348,6,0.1126
352,6,0.1116
356,6,0.1182
360,6,0.1310
364,6,0.1450
368,6,0.1560
372,6,0.1614
376,6,0.1617
380,6,0.1588
384,6,0.1558
388,6,0.1560
392,6,0.1628
396,6,0.1815
400,6,0.2150
404,6,0.2592
408,6,0.3025
